dataset,episode_id,task,start_frame,end_frame,subtask,source,notes
data_robot_give_0526,000000,take the marker from the human,0,78,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=79-90; levels=0.01702->0.00452
data_robot_give_0526,000000,take the marker from the human,79,133,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=79-90; levels=0.01702->0.00452
data_robot_give_0526,000001,take the marker from the human,0,78,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=79-90; levels=0.01702->0.00569
data_robot_give_0526,000001,take the marker from the human,79,160,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=79-90; levels=0.01702->0.00569
data_robot_give_0526,000002,take the marker from the human,0,91,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=92-103; levels=0.01496->0.00512
data_robot_give_0526,000002,take the marker from the human,92,183,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=92-103; levels=0.01496->0.00512
data_robot_give_0526,000003,take the marker from the human,0,66,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=67-78; levels=0.01640->0.00512
data_robot_give_0526,000003,take the marker from the human,67,156,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=67-78; levels=0.01640->0.00512
data_robot_give_0526,000004,take the marker from the human,0,84,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=85-96; levels=0.01703->0.00535
data_robot_give_0526,000004,take the marker from the human,85,162,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=85-96; levels=0.01703->0.00535
data_robot_give_0526,000005,take the marker from the human,0,89,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=90-101; levels=0.01565->0.00515
data_robot_give_0526,000005,take the marker from the human,90,159,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=90-101; levels=0.01565->0.00515
data_robot_give_0526,000006,take the marker from the human,0,65,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=66-77; levels=0.01659->0.00542
data_robot_give_0526,000006,take the marker from the human,66,135,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=66-77; levels=0.01659->0.00542
data_robot_give_0526,000007,take the marker from the human,0,97,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=98-109; levels=0.01544->0.00541
data_robot_give_0526,000007,take the marker from the human,98,173,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=98-109; levels=0.01544->0.00541
data_robot_give_0526,000008,take the marker from the human,0,86,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=87-98; levels=0.01682->0.00538
data_robot_give_0526,000008,take the marker from the human,87,154,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=87-98; levels=0.01682->0.00538
data_robot_give_0526,000009,take the marker from the human,0,95,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=96-107; levels=0.02119->0.00492
data_robot_give_0526,000009,take the marker from the human,96,140,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=96-107; levels=0.02119->0.00492
data_robot_give_0526,000010,take the marker from the human,0,83,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=84-95; levels=0.02029->0.00496
data_robot_give_0526,000010,take the marker from the human,84,157,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=84-95; levels=0.02029->0.00496
data_robot_give_0526,000011,take the marker from the human,0,86,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=87-98; levels=0.02001->0.00496
data_robot_give_0526,000011,take the marker from the human,87,160,close,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=87-98; levels=0.02001->0.00496
data_robot_give_0526,000012,take the marker from the human,0,92,open,auto,needs_manual_review; scheme=state_2cls; method=gripper_threshold; signal=action[13]; transition=93-104; levels=0.01704->0.00541
