dataset,episode_id,task,start_frame,end_frame,subtask,source,notes
data_robot_give_0526,000000,take the marker from the human,0,78,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01702->0.00452
data_robot_give_0526,000000,take the marker from the human,79,90,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01702->0.00452
data_robot_give_0526,000000,take the marker from the human,91,133,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01702->0.00452
data_robot_give_0526,000001,take the marker from the human,0,78,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01702->0.00569
data_robot_give_0526,000001,take the marker from the human,79,90,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01702->0.00569
data_robot_give_0526,000001,take the marker from the human,91,160,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01702->0.00569
data_robot_give_0526,000002,take the marker from the human,0,91,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01496->0.00512
data_robot_give_0526,000002,take the marker from the human,92,103,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01496->0.00512
data_robot_give_0526,000002,take the marker from the human,104,183,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01496->0.00512
data_robot_give_0526,000003,take the marker from the human,0,66,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01640->0.00512
data_robot_give_0526,000003,take the marker from the human,67,78,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01640->0.00512
data_robot_give_0526,000003,take the marker from the human,79,156,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01640->0.00512
data_robot_give_0526,000004,take the marker from the human,0,84,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01703->0.00535
data_robot_give_0526,000004,take the marker from the human,85,96,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01703->0.00535
data_robot_give_0526,000004,take the marker from the human,97,162,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01703->0.00535
data_robot_give_0526,000005,take the marker from the human,0,89,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01565->0.00515
data_robot_give_0526,000005,take the marker from the human,90,101,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01565->0.00515
data_robot_give_0526,000005,take the marker from the human,102,159,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01565->0.00515
data_robot_give_0526,000006,take the marker from the human,0,65,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01659->0.00542
data_robot_give_0526,000006,take the marker from the human,66,77,close,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01659->0.00542
data_robot_give_0526,000006,take the marker from the human,78,135,keep_closed,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01659->0.00542
data_robot_give_0526,000007,take the marker from the human,0,97,keep_open,auto,needs_manual_review; method=gripper_threshold; signal=action[13]; levels=0.01544->0.00541
