dataset,episode_id,task,start_frame,end_frame,subtask,source,notes
0528_green_block_mem,000000,put the green block to the plate,0,82,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=83; peak_vel=0.17557
0528_green_block_mem,000000,put the green block to the plate,83,183,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=83; peak_vel=0.17557
0528_green_block_mem,000001,put the green block to the plate,0,68,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=69; peak_vel=0.27502
0528_green_block_mem,000001,put the green block to the plate,69,159,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=69; peak_vel=0.27502
0528_green_block_mem,000002,put the green block to the plate,0,62,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=63; peak_vel=0.37193
0528_green_block_mem,000002,put the green block to the plate,63,135,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=63; peak_vel=0.37193
0528_green_block_mem,000003,put the green block to the plate,0,70,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=71; peak_vel=0.16148
0528_green_block_mem,000003,put the green block to the plate,71,176,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=71; peak_vel=0.16148
0528_green_block_mem,000004,put the green block to the plate,0,64,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=65; peak_vel=0.17120
0528_green_block_mem,000004,put the green block to the plate,65,169,put_green_block_to_plate,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=65; peak_vel=0.17120
0528_green_block_mem,000005,put the green block to the plate,0,60,observe_human,auto,needs_manual_review; scheme=block_3cls; method=state_velocity_onset; signal=observation.state; onset=61; peak_vel=0.25084
